ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (F),RELATIVE HUMIDITY (%),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
10.6153,-1.9381,0.9254,9.5766,-1.9074,0.9057,1.0387,-0.0307,0.0196,0.0289,-0.0261,0.0728,0,-11.22,-30.25,27.27,137.04,11.22,-84.61,3.1,952.03,83.8,20.7,70.992,39.84699,-79.64194,1870.97,1929.475281,,105.3,38.709675,286,15 / 18,"$GPRMC,195000,A,3950.819336,N,07938.516233,W,56.9,286.0,150117,0.0,E,D*38::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.1,0.8,0.8*3E::$GPGGA,195000,3950.819336,N,07938.516233,W,2,12,0.8,623.0,M,-43.0,M,,*74::$GPGSV,4,4,18,18,08,150,*45::$GPVTG,286.0,T,286.0,M,56.9,N,105.3,K,D*1B::$GLGSV,2,2,18,65,73,101,*5B",11110007,2017-01-15 19:00:10:738
9.4804,-2.0734,0.6177,9.5556,-2.055,0.7983,-0.0752,-0.0183,-0.1806,0.0374,-0.0044,0.0716,0,-9.42,-30.34,28.22,137,12.1,-85.22,3.1,949.34,83.8,20.8,71.466,39.84758,-79.64524,1903.23,2048.376091,,96.3,38.709675,284.7,15 / 18,"$GPRMC,195011,A,3950.854851,N,07938.714474,W,52.0,284.7,150117,0.0,E,D*36::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.1,0.8,0.8*3E::$GPGGA,195011,3950.854851,N,07938.714474,W,2,12,0.8,633.0,M,-43.0,M,,*73::$GPGSV,4,4,18,18,08,150,*45::$GPVTG,284.7,T,284.7,M,52.0,N,96.3,K,D*2D::$GLGSV,2,2,18,65,73,101,*5B",11120008,2017-01-15 19:00:20:739
9.7031,0.0192,0.4268,9.7226,-1.0622,0.7166,-0.0195,1.0813,-0.2899,0.0393,-0.0985,0.0502,0,-7.72,-27.58,30.75,132.95,6.44,-85.68,3.1,946.6,83.9,20.7,69.26,39.848026,-79.64829,1935.48,2048.376091,,95.4,38.709675,274.1,15 / 18,"$GPRMC,195021,A,3950.881611,N,07938.897596,W,51.5,274.1,150117,0.0,E,D*31::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.1,0.8,0.8*3E::$GPGGA,195021,3950.881611,N,07938.897596,W,2,12,0.8,643.0,M,-43.0,M,,*7C::$GPGSV,4,4,18,18,08,150,*45::$GPVTG,274.1,T,274.1,M,51.5,N,95.4,K,D*2F::$GLGSV,2,2,18,65,72,104,*5F",11130008,2017-01-15 19:00:30:738
9.666,-1.6101,0.7913,9.4641,-2.2327,1.271,0.2019,0.6226,-0.4797,-0.0099,-0.0289,0.0462,0,-13.77,-32.02,27.05,140.5,13.2,-82.32,3.1,944.63,83.8,20.8,69.908,39.84823,-79.65067,2016.13,2205.139724,,69.3,32.258064,281.9,15 / 18,"$GPRMC,195031,A,3950.893655,N,07939.040467,W,37.4,281.9,150117,0.0,E,D*3C::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.1,0.8,0.8*3E::$GPGGA,195031,3950.893655,N,07939.040467,W,2,12,0.8,668.0,M,-43.0,M,,*7B::$GPGSV,4,4,18,26,14,182,*4A::$GPVTG,281.9,T,281.9,M,37.4,N,69.3,K,D*2A::$GLGSV,2,2,18,65,72,104,*5F",11140007,2017-01-15 19:00:40:739
9.8952,-2.885,0.7051,9.4503,-2.5325,0.6695,0.4449,-0.3525,0.0356,0.0756,-0.0631,0.0801,0,-16.67,-32.13,21.91,145.28,14.93,-85.89,3.1,942.37,83.8,20.7,70.296,39.8488,-79.65248,2093.55,2205.139724,,67.5,38.709675,294.4,15 / 18,"$GPRMC,195040,A,3950.928010,N,07939.148937,W,36.4,294.4,150117,0.0,E,D*35::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.1,0.8,0.8*3E::$GPGGA,195040,3950.928010,N,07939.148937,W,2,12,0.8,692.0,M,-43.0,M,,*7F::$GPGSV,4,4,18,26,14,182,*4A::$GPVTG,294.4,T,294.4,M,36.4,N,67.5,K,D*23::$GLGSV,2,2,18,65,72,104,*5F",11150011,2017-01-15 19:00:50:738
9.9868,-2.4738,1.1953,9.4545,-2.1305,1.4978,0.5323,-0.3433,-0.3025,-0.0139,-0.0215,0.0844,0,-15.45,-29.52,28.06,136.43,12.51,-80.98,3.1,940.43,83.9,20.7,69.507,39.849274,-79.655045,2164.52,2326.960329,,74.7,32.258064,282.2,15 / 18,"$GPRMC,195051,A,3950.956349,N,07939.303025,W,40.3,282.2,150117,0.0,E,D*33::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.1,0.8,0.8*3E::$GPGGA,195051,3950.956349,N,07939.303025,W,2,12,0.8,714.0,M,-43.0,M,,*71::$GPGSV,4,4,18,26,14,182,*4A::$GPVTG,282.2,T,282.2,M,40.3,N,74.7,K,D*25::$GLGSV,2,2,18,65,72,104,*5F",11160008,2017-01-15 19:01:00:738
10.0084,-1.321,0.5926,9.7106,-1.2487,0.5619,0.2978,-0.0723,0.0307,0.0176,-0.0157,0.0499,0,-15.08,-35.28,24.61,144.67,7.32,-86.69,3.1,938.79,83.7,20.7,66.479,39.849827,-79.65684,2238.71,2326.960329,,62.1,32.258064,292.6,15 / 18,"$GPRMC,195100,A,3950.989694,N,07939.410547,W,33.5,292.6,150117,0.0,E,D*32::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.1,0.8,0.8*3E::$GPGGA,195100,3950.989694,N,07939.410547,W,2,12,0.8,737.0,M,-43.0,M,,*76::$GPGSV,4,2,18,12,17,040,18,14,68,344,25,22,25,310,22,25,45,078,20*7F::$GPVTG,292.6,T,292.6,M,33.5,N,62.1,K,D*26::$GLGSV,2,2,18,65,72,104,*5F",11170007,2017-01-15 19:01:10:739
10.0664,-0.8469,1.5006,9.64,-1.1136,1.4147,0.4265,0.2667,0.0859,-0.024,-0.0533,0.0755,0,-16.42,-36.03,24.7,142.49,6.52,-81.66,3.1,940.25,83.7,20.7,70.061,39.85066,-79.65892,2216.13,2391.331193,,84.6,32.258064,302.7,15 / 18,"$GPRMC,195110,A,3951.039550,N,07939.535310,W,45.7,302.7,150117,0.0,E,D*33::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.0,0.7,0.7*3F::$GPGGA,195110,3951.039550,N,07939.535310,W,2,12,0.7,730.0,M,-43.0,M,,*75::$GPGSV,4,4,18,18,08,150,*45::$GPVTG,302.7,T,302.7,M,45.7,N,84.6,K,D*2A::$GLGSV,2,2,18,65,72,104,*5F",11180007,2017-01-15 19:01:20:738
9.9575,-0.6662,0.586,9.7817,-0.5104,0.4776,0.1758,-0.1558,0.1084,0.0148,-0.0148,0.0615,0,-8.86,-43.72,21.37,154.23,2.98,-87.22,3.1,942.88,83.8,20.7,68.723,39.85211,-79.66117,2170.97,2391.331193,,90,32.258064,311.2,15 / 18,"$GPRMC,195121,A,3951.136415,N,07939.683155,W,48.6,311.3,150117,0.0,E,D*38::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.2,0.9,0.8*3C::$GPGGA,195121,3951.136415,N,07939.683155,W,2,12,0.9,715.0,M,-43.0,M,,*7D::$GPGSV,4,4,18,18,08,150,*45::$GPVTG,311.3,T,311.3,M,48.6,N,90.0,K,D*25::$GLGSV,2,2,18,65,72,104,*5F",11190007,2017-01-15 19:01:30:739
9.8611,-0.4884,2.1787,9.4981,-0.4597,2.397,0.363,-0.0288,-0.2183,-0.0658,-0.0377,0.0703,0,-8.45,-47.06,14.85,160.71,2.69,-75.84,3.1,945.58,83.8,20.6,66.392,39.85384,-79.6632,2090.32,2241.544151,,76.5,32.258064,335.3,14 / 17,"$GPRMC,195131,A,3951.230345,N,07939.791956,W,41.3,335.3,150117,0.0,E,D*3D::$GPGSA,A,3,01,03,10,11,12,14,18,22,25,26,31,32,1.3,1.0,0.8*35::$GPGGA,195131,3951.230345,N,07939.791956,W,2,12,1.0,691.0,M,-43.0,M,,*77::$GPGSV,3,3,17,31,67,251,24,32,62,063,22,18,08,150,,25,45,077,*7F::$GPVTG,335.3,T,335.3,M,41.3,N,76.5,K,D*24::$GLGSV,2,2,17,65,72,104,*50",11200007,2017-01-15 19:01:40:739
