ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (F),RELATIVE HUMIDITY (%),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.4691,-1.3743,1.6712,9.6417,-1.3129,1.2184,-0.1726,-0.0614,0.4527,0.0237,-0.0377,0.0673,0,15.27,9.8,32.96,68.02,7.69,-82.8,3.1,985.86,77.8,22.6,73.913,39.835884,-84.60767,948.39,1085.553308,,128.7,32.258064,269,10-Oct,"$GPRMC,000420,A,3950.153114,N,08436.460517,W,69.5,269.0,160117,0.0,E,D*39::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.3,1.0,0.8*37::$GPGGA,000420,3950.153114,N,08436.460517,W,2,13,1.0,325.0,M,-31.0,M,,*79::$GPGSV,3,3,10,31,08,094,21,07,19,291,*79::$GPVTG,269.0,T,269.0,M,69.5,N,128.7,K,D*10::$GLGSV,1,1,0,*79",26370008,2017-01-15 19:04:20:739
9.4032,-1.2198,1.1043,9.66,-1.2696,1.115,-0.2568,0.0497,-0.0107,0.0255,-0.0338,0.0569,0,15.08,9.79,32.63,68.34,7.44,-83.42,3.1,986.03,77.6,22.7,72.759,39.835854,-84.61185,948.39,1085.553308,,129.6,35.48387,268.6,10-Oct,"$GPRMC,000430,A,3950.151046,N,08436.710822,W,70.0,268.6,160117,0.0,E,D*39::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000430,3950.151046,N,08436.710822,W,2,13,0.9,325.0,M,-31.0,M,,*7B::$GPGSV,3,3,10,27,45,135,26,31,07,094,21*74::$GPVTG,268.6,T,268.6,M,70.0,N,129.6,K,D*1D::$GLGSV,1,1,0,*79",26380007,2017-01-15 19:04:30:738
9.2751,-1.2935,1.136,9.663,-1.2679,1.0905,-0.3879,-0.0256,0.0456,0.0332,-0.0408,0.0627,0,12.59,8.68,29.99,68.09,7.37,-83.55,3.1,986.21,77.3,22.7,73.382,39.83577,-84.61606,935.48,1083.110401,,129.6,32.258064,268.8,10-Oct,"$GPRMC,000440,A,3950.146089,N,08436.963499,W,70.0,268.8,160117,0.0,E,D*33::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000440,3950.146089,N,08436.963499,W,2,13,0.9,321.0,M,-31.0,M,,*7B::$GPGSV,3,3,10,27,45,135,28,31,07,094,21*7A::$GPVTG,268.8,T,268.8,M,70.0,N,129.6,K,D*1D::$GLGSV,1,1,0,*79",26390008,2017-01-15 19:04:40:739
10.0353,-1.394,0.9272,9.6457,-1.3986,1.084,-0.1965,-0.0665,0.2916,0.0384,-0.0307,0.0627,0,15.27,9.51,31.7,67.41,8.2,-83.59,3.1,985.93,77.6,22.6,71.741,39.835716,-84.62024,935.48,1083.110401,,128.7,32.258064,268.9,10-Oct,"$GPRMC,000450,A,3950.142890,N,08437.214134,W,69.5,268.9,160117,0.0,E,D*32::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000450,3950.142890,N,08437.214134,W,2,13,0.9,321.0,M,-31.0,M,,*76::$GPGSV,3,3,10,27,45,135,27,31,07,094,22*76::$GPVTG,268.9,T,268.9,M,69.5,N,128.7,K,D*10::$GLGSV,1,1,0,*79",26400007,2017-01-15 19:04:50:738
9.4098,-1.1211,0.7314,9.667,-1.3613,0.9306,-0.2572,0.2402,-0.1992,0.0298,-0.0261,0.0593,0,9.68,9.72,17.52,55.8,7.98,-84.5,3.1,985.54,77.6,22.7,72.875,39.835686,-84.62438,948.39,1091.000616,,128.7,32.258064,269.2,10-Nov,"$GPRMC,000500,A,3950.140994,N,08437.462876,W,69.5,269.2,160117,0.0,E,D*33::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000500,3950.140994,N,08437.462876,W,2,13,0.9,325.0,M,-31.0,M,,*79::$GPGSV,3,3,11,27,45,135,27,31,07,094,19,21,00,000,*4C::$GPVTG,269.2,T,269.2,M,69.5,N,128.7,K,D*10::$GLGSV,1,1,0,*79",26410008,2017-01-15 19:05:00:739
9.9323,-1.6694,0.911,9.6406,-1.3828,1.148,0.2918,-0.2865,-0.237,0.0353,-0.0704,0.0945,0,6.98,9.24,16.92,57.64,8.11,-83.21,3.1,984.95,77.6,22.6,72.971,39.83561,-84.628586,958.06,1091.000616,,129.6,32.258064,268.9,10-Nov,"$GPRMC,000510,A,3950.136335,N,08437.715065,W,70.0,268.9,160117,0.0,E,D*3C::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000510,3950.136335,N,08437.715065,W,2,13,0.9,328.0,M,-31.0,M,,*7C::$GPGSV,3,3,11,27,45,135,27,31,07,094,21,21,00,000,*47::$GPVTG,268.9,T,268.9,M,70.0,N,129.6,K,D*1D::$GLGSV,1,1,0,*79",26420007,2017-01-15 19:05:10:738
9.909,-1.4988,1.1905,9.6442,-1.3508,1.1559,0.2649,-0.148,0.0346,0.0402,-0.0301,0.0737,0,5.64,9.18,17.81,59.69,7.92,-83.17,3.1,984.76,77.5,22.6,71.254,39.83556,-84.63278,970.97,1111.020067,,128.7,32.258064,269.7,10-Nov,"$GPRMC,000520,A,3950.133731,N,08437.966923,W,69.5,269.7,160117,0.0,E,D*39::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000520,3950.133731,N,08437.966923,W,2,13,0.9,332.0,M,-31.0,M,,*70::$GPGSV,3,3,11,27,45,135,26,31,07,094,22,21,00,000,*45::$GPVTG,269.7,T,269.7,M,69.5,N,128.7,K,D*10::$GLGSV,1,1,0,*79",26430008,2017-01-15 19:05:20:739
10.0263,-1.2576,0.7841,9.6606,-1.3628,0.9932,0.3657,0.1052,-0.2091,0.035,-0.0255,0.0657,0,4.75,9.69,18.1,58.05,7.99,-84.13,3.1,984.63,77.7,22.9,72.501,39.83556,-84.63698,974.19,1111.020067,,129.6,32.258064,269.8,10-Nov,"$GPRMC,000530,A,3950.133663,N,08438.218803,W,70.0,269.8,160117,0.0,E,D*32::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.2,0.9,0.8*3E::$GPGGA,000530,3950.133663,N,08438.218803,W,2,13,0.9,333.0,M,-31.0,M,,*78::$GPGSV,3,3,11,27,45,135,26,31,07,094,22,21,00,000,*45::$GPVTG,269.8,T,269.8,M,70.0,N,129.6,K,D*1D::$GLGSV,1,1,0,*79",26440008,2017-01-15 19:05:30:739
9.6403,-1.4473,1.3755,9.6446,-1.3408,1.1641,-0.0043,-0.1065,0.2114,0.0374,-0.0414,0.0596,0,5.23,9.46,19.24,61.53,7.86,-83.12,3.1,984.48,77.6,22.7,70.733,39.835567,-84.64118,974.19,1122.580803,,129.6,32.258064,269.9,10-Nov,"$GPRMC,000540,A,3950.134145,N,08438.470919,W,70.0,269.9,160117,0.0,E,D*32::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.3,1.0,0.8*37::$GPGGA,000540,3950.134145,N,08438.470919,W,2,13,1.0,333.0,M,-31.0,M,,*71::$GPGSV,3,3,11,26,34,049,25,27,45,135,26,31,07,094,22*4F::$GPVTG,269.9,T,269.9,M,70.0,N,129.6,K,D*1D::$GLGSV,1,1,0,*79",26450008,2017-01-15 19:05:40:739
10.1065,-1.3581,0.5165,9.6547,-1.3263,1.095,0.4519,-0.0319,-0.5785,0.0438,-0.0411,0.0639,0,5.63,9.25,19.64,62.42,7.77,-83.53,3.1,984.27,77.6,22.7,73.093,39.835575,-84.64535,977.42,1122.580803,,128.7,32.258064,270.4,10-Nov,"$GPRMC,000550,A,3950.134516,N,08438.720901,W,69.5,270.4,160117,0.0,E,D*36::$GPGSA,A,3,03,07,08,09,14,16,22,23,26,27,29,31,1.3,1.0,0.8*37::$GPGGA,000550,3950.134516,N,08438.720901,W,2,13,1.0,334.0,M,-31.0,M,,*7A::$GPGSV,3,3,11,27,45,135,27,31,07,094,22,07,20,291,*48::$GPVTG,270.4,T,270.4,M,69.5,N,128.7,K,D*10::$GLGSV,1,1,0,*79",26460009,2017-01-15 19:05:50:740
